class,plate,mjd,fiber,good,J0390,J0400,J0410,J0420,J0430,J0440,J0450,J0460,J0470,J0480,J0490,J0500,J0510,J0520,J0530,J0540,J0550,J0560,J0570,J0580,J0590,J0600,J0610,J0620,J0630,J0640,J0650,J0660,J0670,J0680,J0690,J0700,J0710,J0720,J0730,J0740,J0750,J0760,J0770,J0780,J0790,J0800,J0810,J0820,J0830,J0840,J0850,J0860,J0870,J0880,J0890,J0900,J0910
WDMS,2872,54468,61,True,19.4743,19.4831,19.3177,19.3481,19.2986,19.0714,18.6993,18.5236,18.697,18.7265,18.6124,18.5762,18.5529,18.4524,18.2111,18.1121,18.1029,18.0657,17.9109,17.8156,17.9517,17.7909,17.7222,17.8807,17.6713,17.4664,17.3056,17.2818,17.4704,17.5084,17.3165,17.1091,17.1716,17.1117,16.8785,16.7371,16.6698,16.6608,16.7552,16.688,16.6211,16.5412,16.4787,16.4522,16.4226,16.4551,16.4633,16.4337,16.3895,16.3744,16.3453,16.2703,16.2455
WDMS,2872,54533,70,True,19.4968,19.369,19.2694,19.3006,19.2124,19.0654,18.849,18.685,18.6498,18.6766,18.5634,18.5604,18.5404,18.4276,18.2002,18.0873,18.0418,17.9946,17.8667,17.8214,17.9754,17.7571,17.6725,17.8415,17.654,17.429,17.2697,17.2606,17.4205,17.4731,17.2873,17.0561,17.1458,17.0591,16.8034,16.6696,16.605,16.6093,16.6779,16.6203,16.5394,16.4606,16.4006,16.3831,16.3595,16.3707,16.3756,16.3434,16.2996,16.2547,16.2383,16.2181,16.1609
WDMS,4630,55623,382,True,21.5094,21.3427,21.3355,21.1079,21.3529,21.3043,21.1037,21.1592,21.195,21.4676,21.5125,21.2829,21.3085,21.3012,21.2939,21.3426,21.3429,21.3302,21.3563,21.417,21.5388,21.5715,21.4927,21.439,21.5689,21.6019,21.6846,21.7865,21.5774,21.7099,21.6374,21.5124,21.625,21.6918,21.6692,21.4729,21.4608,21.4666,21.6971,21.4928,21.5599,21.5171,21.2918,21.3524,21.2782,21.2836,21.2964,21.4574,21.1199,20.8479,21.1184,21.1291,20.9814
WDMS,4365,55539,750,True,20.7408,20.5838,20.5911,20.3859,20.5597,20.4548,20.3057,20.3291,20.3579,20.5733,20.6232,20.3856,20.3529,20.3529,20.358,20.328,20.3622,20.3693,20.3907,20.3877,20.4093,20.4064,20.4292,20.4657,20.3931,20.5169,20.5778,20.6717,20.5501,20.5491,20.5236,20.4272,20.5116,20.4739,20.2372,20.156,20.1048,20.1539,20.2894,20.2324,20.0343,20.0133,19.9767,19.8983,19.7837,19.8927,19.9486,19.918,19.8137,19.575,19.5028,19.6616,19.6367
WDMS,381,51811,570,False,19.2196,19.1509,19.058,19.0441,18.9667,18.9386,18.8248,18.7045,18.6855,18.679,18.62,18.6003,18.5484,18.4896,18.3565,18.2796,18.3107,18.3001,18.1988,18.2037,18.3739,18.1972,18.4065,20.377,20.377,20.377,20.377,20.377,20.377,20.377,20.377,20.377,20.377,20.377,20.377,20.377,20.377,20.377,20.377,20.377,20.377,20.377,20.377,20.377,20.377,20.377,20.377,20.377,20.377,20.377,20.377,20.377,20.377
WDMS,6180,56301,142,True,21.2756,21.1486,21.1027,20.8702,21.1232,21.0473,20.828,20.8129,20.8853,21.1853,21.2429,20.9551,20.9184,20.9367,20.9234,20.951,20.9257,20.8754,20.9819,20.9905,20.9684,20.9917,21.0715,21.0125,20.9313,21.0794,21.1974,21.2944,21.141,21.1749,21.0693,20.9989,21.1112,21.0977,21.1131,20.949,20.8542,20.9107,21.0551,21.0976,21.1061,20.9115,20.7313,20.6421,20.9257,21.0255,20.9789,20.7615,20.7779,20.813,20.8102,20.6214,20.4235
WDMS,2234,53823,314,True,18.265,18.0736,18.05,17.8528,18.0367,17.9125,17.6761,17.6526,17.6729,17.8773,17.8646,17.6957,17.6732,17.6404,17.525,17.4654,17.5114,17.5153,17.4308,17.4248,17.5866,17.4418,17.3643,17.5393,17.3626,17.1365,16.9678,17.0029,17.1777,17.2039,17.0055,16.7306,16.8878,16.7776,16.3978,16.1832,16.0849,16.1225,16.3146,16.2203,16.0806,15.9348,15.8162,15.7891,15.769,15.8047,15.8406,15.7765,15.7233,15.6496,15.6401,15.6033,15.5166
WDMS,3606,55182,496,True,21.9697,21.9826,22.0411,21.8869,22.0086,21.8643,21.6873,21.6694,21.7413,21.9777,21.915,21.7197,21.7303,21.7282,21.6058,21.5661,21.5888,21.4174,21.5953,21.5994,21.6419,21.7755,21.7938,21.7836,21.7107,21.4743,21.2574,21.345,21.5205,21.5113,21.2698,21.0411,21.2774,21.0905,20.6089,20.4271,20.3598,20.4399,20.7561,20.5803,20.4561,20.2295,20.1086,20.0687,19.968,20.0143,20.1649,20.1136,19.9877,19.7739,19.7019,19.7776,19.7754
WDMS,1642,53115,252,True,18.1833,18.0364,18.0199,17.7871,18.0003,17.9165,17.7159,17.7336,17.779,18.0242,18.0726,17.872,17.8512,17.8693,17.8502,17.8453,17.8883,17.9153,17.913,17.9231,17.9977,17.9721,17.975,18.0468,17.9995,17.9157,17.91,17.9667,17.9969,17.9882,17.8664,17.7011,17.8688,17.8062,17.493,17.2776,17.1912,17.26,17.5051,17.4081,17.2672,17.113,16.9542,16.925,16.9269,16.9978,17.049,16.9674,16.8815,16.8181,16.818,16.7598,16.6586
WDMS,8878,57785,998,True,18.2206,18.109,18.103,17.8939,18.1453,18.0798,17.8897,17.9044,17.9513,18.2033,18.2505,18.0335,18.0194,18.0345,18.0283,18.035,18.0949,18.1143,18.1053,18.1262,18.1927,18.1644,18.1745,18.2418,18.2046,18.1512,18.1616,18.2355,18.2479,18.2322,18.13,17.9856,18.1468,18.0884,17.8106,17.6249,17.5472,17.6017,17.8218,17.7419,17.621,17.4872,17.3477,17.3322,17.3193,17.3675,17.4401,17.3719,17.2908,17.1944,17.1958,17.1726,17.053
WDMS,3835,55570,90,True,22.729,22.6474,22.6769,22.564,22.622,22.5434,22.3202,22.3251,22.3289,22.4186,22.3794,22.267,22.148,22.1338,21.9489,21.967,22.0868,22.091,21.8135,21.7325,21.8586,21.9001,21.8926,22.0119,21.8129,21.5849,21.374,21.6176,21.7494,21.7124,21.434,21.16,21.3803,21.1059,20.8519,20.6335,20.5157,20.497,20.7413,20.5694,20.4505,20.4206,20.1589,20.1078,20.0058,20.1159,20.2542,20.1484,20.0811,20.1395,20.1244,19.9136,19.8271
