class,plate,mjd,fiber,good,J0390,J0400,J0410,J0420,J0430,J0440,J0450,J0460,J0470,J0480,J0490,J0500,J0510,J0520,J0530,J0540,J0550,J0560,J0570,J0580,J0590,J0600,J0610,J0620,J0630,J0640,J0650,J0660,J0670,J0680,J0690,J0700,J0710,J0720,J0730,J0740,J0750,J0760,J0770,J0780,J0790,J0800,J0810,J0820,J0830,J0840,J0850,J0860,J0870,J0880,J0890,J0900,J0910
QSO,8762,57693,68,False,20.5422,20.5422,20.5422,20.5422,20.5422,20.5422,20.5422,20.5422,20.5422,20.5422,20.5422,20.5422,20.5422,20.5422,20.5422,20.5422,20.5422,20.5422,20.5422,20.5422,20.5422,20.5422,20.5422,20.5422,20.5422,20.5422,20.5422,20.5422,20.5422,20.5422,20.5422,20.5422,27.5067,21.1733,23.0601,23.0601,23.0601,23.0601,23.0601,23.0601,23.0601,23.0601,23.0601,23.0601,23.0601,23.0601,23.0601,23.0601,23.0601,23.0601,23.0601,23.0601,23.0601
QSO,8754,58425,387,True,20.069,20.0126,19.9698,19.9363,19.8971,19.9239,19.9573,19.9754,19.8913,19.604,19.7096,19.9358,19.924,20.0105,20.0058,19.9106,19.8706,19.9014,19.9323,19.9294,19.878,19.9679,19.987,19.9894,19.9599,19.9643,19.9943,20.0448,20.0304,20.0547,20.0321,20.0699,19.9959,20.0628,19.9662,19.8846,19.8297,19.9574,19.9236,19.7808,19.684,19.7035,19.752,19.7493,19.4314,19.2217,19.4658,19.3119,19.3763,19.5407,19.4705,19.6058,19.5212
QSO,6161,56238,999,True,22.152,22.0879,21.5761,21.7817,21.8688,21.8779,21.9371,21.8653,21.8107,21.7725,21.7238,21.6224,21.387,21.6189,21.7207,21.676,21.429,21.0898,21.606,21.5747,21.4842,21.3797,21.3849,21.4045,21.3151,21.338,21.312,21.3355,21.3518,21.2185,21.2579,21.239,21.3267,21.3294,21.0367,20.9946,20.84,20.9921,20.9459,20.9945,21.0985,21.0032,21.0728,21.1159,20.7993,20.7872,20.9335,20.8944,20.9332,20.5723,20.6709,20.8549,20.8392
QSO,5977,56098,782,True,20.1772,19.7573,20.138,20.2368,20.1901,20.1533,20.0303,20.0002,20.1011,20.0095,19.8766,19.4862,19.5366,19.7583,19.7225,19.7417,19.7758,19.7508,19.7227,19.7209,19.6779,19.6179,19.5023,19.4159,19.5611,19.6413,19.6468,19.6425,19.5829,19.5661,19.5816,19.6016,19.593,19.5946,19.5696,19.5336,19.4719,19.4434,19.4797,19.4502,19.4155,19.4105,19.3798,19.3618,19.3737,19.3684,19.3186,19.3708,19.3668,19.3107,19.2532,19.215,18.9744
QSO,7672,57339,463,True,21.6288,21.5122,21.7828,21.6694,21.1353,20.6125,21.2797,21.4022,21.3754,21.5134,21.4725,21.4481,21.4925,21.4068,21.2757,20.9982,21.1673,21.4268,21.4382,21.4877,21.4437,21.3758,21.3293,21.305,21.2124,21.2686,21.211,21.0758,21.0523,21.0665,20.9754,21.0553,20.9129,20.9719,21.0401,20.9859,20.9881,20.9968,20.7758,20.8425,20.5557,20.4035,20.7016,20.8525,20.9722,20.9633,20.9108,20.8655,21.0024,20.9166,20.832,20.7576,20.6452
QSO,8384,57513,415,True,21.3624,21.4688,21.5712,21.6417,21.6727,21.7077,21.6329,21.5249,21.5173,21.6093,21.5341,21.4748,21.5205,21.6065,21.6558,21.6155,21.537,21.3719,21.363,21.3897,21.3075,21.4056,21.3452,21.3102,21.2741,21.2137,21.2498,21.2069,21.1303,21.0257,20.9837,21.1178,21.138,21.0862,21.1104,21.0827,21.1152,21.0228,20.9405,20.906,20.9554,20.9722,20.9209,20.9232,20.8485,20.7912,20.7961,21.1247,21.1628,20.9127,20.8039,20.8136,20.7566
QSO,485,51909,610,True,18.5988,18.6098,18.5303,18.4404,18.5955,18.664,18.686,18.6457,18.6766,18.7057,18.7115,18.6764,18.621,18.5762,18.5531,18.5368,18.5034,18.521,18.5327,18.5414,18.5773,18.4787,18.302,18.2178,18.3862,18.4706,18.452,18.4905,18.5475,18.5348,18.4821,18.4445,18.4516,18.477,18.4912,18.4986,18.5038,18.4972,18.5039,18.5275,18.548,18.5622,18.5607,18.5579,18.5757,18.5568,18.5813,18.5963,18.6433,18.7066,18.7627,18.5857,18.574
QSO,3962,55660,320,True,21.2224,20.6317,20.4465,20.728,21.0277,21.0929,21.1306,21.2723,21.0994,21.1559,21.1273,20.9598,21.1123,20.4402,20.7798,21.0191,20.8736,20.8732,20.9732,20.9238,20.9039,20.9724,20.8964,20.78,20.5089,20.401,20.7087,20.8584,20.8408,20.8371,20.8436,20.8318,20.8247,20.8049,20.8074,20.7866,20.7869,20.6377,20.557,20.5143,20.5992,20.4655,20.5283,20.5136,20.4133,20.4467,20.4767,20.499,20.4328,20.5896,20.3821,20.3829,20.3136
QSO,10263,58464,464,True,21.7461,21.7748,21.7128,21.5548,21.6746,21.7605,21.6079,21.0995,21.1206,21.4938,21.468,21.4954,21.5611,21.4322,21.3875,21.463,21.4173,21.2534,21.0566,21.1612,21.2372,21.3006,21.3516,21.3056,21.3462,21.4564,21.4062,21.376,21.3646,21.2382,21.1738,21.1671,21.1746,21.1097,21.0253,20.977,21.0737,20.9955,20.99,21.0324,21.3262,21.0304,21.0003,20.9197,20.6848,20.4464,20.6552,20.7389,20.8907,20.8129,20.8662,21.087,20.8394
QSO,8539,58021,318,True,21.9201,21.975,21.9311,21.8058,21.8014,21.915,21.8009,21.3918,21.0034,21.3626,21.4662,21.4549,21.5512,21.5567,21.5029,21.5455,21.4779,21.277,21.1762,21.0534,21.3801,21.5207,21.4537,21.41,21.3409,21.3262,21.363,21.3203,21.3347,21.3971,21.3667,21.2515,21.1461,21.2435,21.2108,21.0092,20.9527,21.0979,21.1324,21.0357,21.0331,21.0642,21.0171,20.9095,20.8387,20.6142,20.4291,20.518,20.8092,20.717,20.7398,20.7918,20.7893
