class,plate,mjd,fiber,good,J0390,J0400,J0410,J0420,J0430,J0440,J0450,J0460,J0470,J0480,J0490,J0500,J0510,J0520,J0530,J0540,J0550,J0560,J0570,J0580,J0590,J0600,J0610,J0620,J0630,J0640,J0650,J0660,J0670,J0680,J0690,J0700,J0710,J0720,J0730,J0740,J0750,J0760,J0770,J0780,J0790,J0800,J0810,J0820,J0830,J0840,J0850,J0860,J0870,J0880,J0890,J0900,J0910
OBA,567,52252,550,False,17.4302,17.2746,17.2252,17.1472,17.1993,17.1727,17.1065,17.08,17.0558,17.0959,17.0995,17.0397,17.0252,17.0316,17.0157,17.0104,16.9997,17.0,16.97,16.9709,16.9822,16.9765,17.1658,18.547,18.547,18.547,18.547,18.547,18.547,18.547,18.547,18.547,18.547,18.547,18.547,18.547,18.547,18.547,18.547,18.547,18.547,18.547,18.547,18.547,18.547,18.547,18.547,18.547,18.547,18.547,18.547,18.547,18.547
OBA,584,52049,545,False,19.6757,19.529,19.4776,19.4157,19.4567,19.4243,19.3577,19.3336,19.3085,19.3197,19.3128,19.2703,19.2677,19.2735,19.2533,19.2429,19.2198,19.2139,19.2155,19.2011,19.23,19.2226,19.3971,20.7522,20.7522,20.7522,20.7522,20.7522,20.7522,20.7522,20.7522,20.7522,20.7522,20.7522,20.7522,20.7522,20.7522,20.7522,20.7522,20.7522,20.7522,20.7522,20.7522,20.7522,20.7522,20.7522,20.7522,20.7522,20.7522,20.7522,20.7522,20.7522,20.7522
OBA,585,52027,446,True,18.0511,17.8573,17.8318,17.7272,17.8192,17.7852,17.705,17.6921,17.6786,17.782,17.7877,17.6976,17.687,17.6935,17.6837,17.6823,17.6791,17.6839,17.6773,17.6799,17.6934,17.6982,17.7015,17.6992,17.6952,17.7029,17.7808,17.7844,17.7168,17.7219,17.7247,17.7205,17.7313,17.739,17.7375,17.7439,17.744,17.7254,17.7566,17.7622,17.7638,17.7752,17.8026,17.7996,17.8063,17.8212,17.8133,17.8331,17.8421,17.8294,17.8299,17.8136,17.7157
OBA,594,52045,590,True,16.9766,16.7857,16.7574,16.6581,16.7614,16.7167,16.6423,16.631,16.6169,16.7077,16.7182,16.6252,16.611,16.6162,16.5997,16.5968,16.59,16.59,16.5811,16.5757,16.5859,16.5794,16.5743,16.58,16.5747,16.5785,16.6495,16.6496,16.5715,16.5707,16.5685,16.5742,16.5788,16.5796,16.5769,16.5814,16.5861,16.5835,16.5907,16.5881,16.593,16.5929,16.6001,16.598,16.6082,16.6119,16.6175,16.6202,16.6146,16.6115,16.6014,16.6122,16.5126
OBA,605,52353,41,True,18.0617,17.913,17.8579,17.7838,17.8485,17.8174,17.7296,17.704,17.6858,17.7408,17.7379,17.6768,17.6757,17.6726,17.6501,17.6384,17.6247,17.5974,17.6052,17.6142,17.5937,17.564,17.5345,17.5249,17.5112,17.5184,17.5642,17.5701,17.5082,17.5048,17.5125,17.5084,17.5087,17.5099,17.5104,17.5135,17.509,17.5215,17.5229,17.5262,17.5199,17.5144,17.5294,17.5302,17.5293,17.5389,17.564,17.5339,17.5407,17.545,17.5186,17.5507,17.4744
OBA,606,52365,446,True,19.5411,19.4675,19.4971,19.4702,19.5456,19.5801,19.5463,19.5129,19.5494,19.6306,19.6793,19.6658,19.6822,19.717,19.7391,19.7529,19.7702,19.784,19.877,19.9069,19.8965,19.867,19.8478,19.8391,19.8999,19.9707,20.0182,20.0107,19.9828,19.9977,20.0658,20.0422,20.0757,20.0767,20.0633,20.0998,20.1054,20.2103,20.0669,19.9715,20.0216,20.1407,20.2815,20.2811,20.2111,20.1682,20.3482,20.0704,20.1161,20.464,20.4585,20.5262,20.4311
OBA,610,52056,150,True,17.9706,17.7876,17.769,17.696,17.8151,17.7941,17.7385,17.7404,17.7313,17.8338,17.8505,17.7782,17.7847,17.789,17.7905,17.7962,17.7873,17.7894,17.8144,17.8227,17.8334,17.8372,17.8467,17.8556,17.8611,17.8687,17.9501,17.958,17.8912,17.8995,17.9117,17.9159,17.9216,17.9262,17.9324,17.9445,17.9453,17.9575,17.9806,17.9863,17.9961,18.0047,18.0214,18.0306,18.0575,18.0953,18.0283,18.0023,17.9918,18.056,18.0214,17.9768,17.8559
OBA,612,52079,451,True,17.5807,17.3985,17.3597,17.2721,17.3626,17.3143,17.2486,17.2303,17.219,17.3024,17.3121,17.2341,17.2266,17.2369,17.2196,17.2133,17.2096,17.2118,17.2012,17.1945,17.2067,17.2091,17.2135,17.2078,17.2069,17.2152,17.2675,17.2662,17.2146,17.2178,17.2151,17.2178,17.2287,17.2314,17.2325,17.2323,17.2317,17.2364,17.2478,17.2436,17.2569,17.2576,17.2719,17.2788,17.2807,17.2797,17.2939,17.3052,17.2959,17.2746,17.2456,17.2604,17.1881
OBA,612,52079,573,True,14.8845,14.7758,14.8071,14.7479,14.8609,14.8666,14.8396,14.8587,14.8775,14.9915,15.0217,14.9599,14.9806,15.0044,15.0173,15.0358,15.0573,15.0772,15.0946,15.1154,15.1357,15.1508,15.1679,15.182,15.2015,15.223,15.3087,15.3298,15.2689,15.2895,15.3031,15.3209,15.3402,15.3499,15.372,15.3918,15.4059,15.4107,15.443,15.4475,15.4659,15.4721,15.4942,15.5072,15.5288,15.5417,15.5421,15.562,15.5481,15.5173,15.5024,15.5213,15.3765
OBA,617,52072,338,True,17.7907,17.6301,17.5652,17.4826,17.4998,17.454,17.3985,17.3653,17.327,17.3481,17.3345,17.2838,17.2713,17.2682,17.2364,17.2267,17.2033,17.1835,17.1679,17.1537,17.1519,17.1354,17.13,17.1182,17.1142,17.1044,17.1302,17.1205,17.0802,17.0682,17.0626,17.0572,17.0557,17.053,17.0402,17.0408,17.0437,17.0424,17.0468,17.0371,17.0335,17.0331,17.025,17.0205,17.0311,17.0069,17.0091,17.0049,17.0071,16.9537,16.9709,16.9992,16.9237
OBA,623,52051,85,True,22.0918,22.2255,22.5841,22.8129,22.8263,23.1184,23.0454,22.864,22.92,23.2344,23.3042,23.3068,23.172,23.1404,23.3831,23.4622,23.2835,23.2298,23.0207,22.9036,23.0004,22.7881,22.8227,22.4914,22.593,22.6606,22.3507,22.5176,23.0749,22.783,22.9813,23.1073,22.8278,22.8061,22.5097,22.4089,22.3356,22.0858,22.7574,22.4919,21.8795,21.5174,22.184,22.4605,22.052,21.615,21.4699,22.172,21.6984,20.7979,20.9478,20.6495,21.6377
OBA,632,52071,551,True,17.8202,17.621,17.5886,17.4989,17.5794,17.546,17.4856,17.4629,17.4481,17.5275,17.5394,17.4675,17.4683,17.4837,17.4659,17.4672,17.4527,17.4613,17.4568,17.453,17.4748,17.4775,17.4855,17.491,17.4911,17.4986,17.5564,17.5559,17.504,17.5132,17.5143,17.5244,17.53,17.5314,17.5493,17.5489,17.5484,17.5481,17.5699,17.5758,17.5881,17.5773,17.5761,17.593,17.599,17.6015,17.6001,17.6351,17.6473,17.6279,17.605,17.6224,17.5314
OBA,637,52174,200,True,22.2621,22.3298,22.5845,22.6196,22.4405,22.5061,22.3849,22.4881,22.5768,22.7701,22.597,22.6765,22.7587,22.5919,22.6117,22.6328,22.395,22.5215,22.4671,22.36,22.2892,22.6048,22.7683,22.7234,22.6096,22.7115,22.6694,22.4958,22.5809,22.4613,22.121,22.1903,22.2375,22.0073,21.9325,22.101,22.1147,21.8941,21.8776,21.5632,21.6505,21.4386,21.6765,21.6658,21.4389,20.873,21.3282,21.0474,21.207,20.6121,20.6495,20.6323,20.8482
OBA,641,52176,530,True,22.1482,22.2759,22.3311,22.473,22.3731,22.4236,22.4431,22.6106,23.0389,23.3544,23.0169,23.0785,23.0624,23.0823,23.033,23.0612,22.8503,22.663,22.649,22.6297,22.89,23.1727,23.2792,22.8027,22.8316,23.1415,23.2632,23.2837,23.2894,23.4052,22.8718,23.3023,23.8142,23.6879,22.9905,23.2887,23.108,22.4193,22.903,22.7879,22.6666,22.9445,23.0899,23.0465,22.3953,21.9645,22.2461,22.3374,22.332,22.0814,22.2351,21.9979,21.8288
OBA,646,52523,388,True,16.5782,16.456,16.3974,16.3416,16.3454,16.3029,16.2499,16.2168,16.1863,16.1929,16.1733,16.1256,16.1058,16.0922,16.0641,16.0463,16.022,16.0024,15.9872,15.9731,15.9601,15.9423,15.9288,15.92,15.9079,15.9033,15.9265,15.9112,15.8711,15.8631,15.8534,15.8501,15.8468,15.8417,15.8324,15.8255,15.823,15.8129,15.8155,15.804,15.7995,15.7914,15.8105,15.7941,15.7901,15.7897,15.7949,15.7944,15.7766,15.747,15.7521,15.7675,15.7059
OBA,682,52525,602,True,18.1789,17.9587,17.9298,17.7965,17.9128,17.8639,17.7978,17.7912,17.7856,17.9131,17.9258,17.8274,17.8323,17.8466,17.8452,17.8509,17.8481,17.8552,17.8546,17.858,17.8792,17.8861,17.8997,17.8934,17.9049,17.9129,18.0101,18.0277,17.9489,17.9507,17.9462,17.962,17.9749,17.9911,18.008,18.0156,18.0203,18.0226,18.0299,18.0376,18.042,18.0394,18.0704,18.08,18.0905,18.0674,18.1046,18.1284,18.0876,18.0063,17.9562,18.0396,17.944
OBA,685,52203,367,True,18.5909,18.3592,18.358,18.2382,18.3528,18.307,18.24,18.2302,18.2285,18.3449,18.361,18.2563,18.2661,18.2822,18.2758,18.2762,18.2709,18.2784,18.2785,18.282,18.3009,18.2946,18.2925,18.2976,18.3193,18.337,18.4275,18.429,18.3425,18.3522,18.3539,18.36,18.3843,18.3863,18.3987,18.4162,18.4075,18.426,18.4638,18.4644,18.47,18.478,18.4665,18.4844,18.5047,18.4588,18.4993,18.4795,18.5164,18.4637,18.3838,18.5398,18.4836
